country,trackID,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
Austrialia,16,Gray Has Suffered Very Much,Burke and Wills - the Expedition,Ashley Davies,2013,332920,0,0.514,0.225,0.514,0.374,0.917,0.084,-13.065,0.0368,85.773,4
Austrialia,17,A Tree Marked Dig,Burke and Wills - the Expedition,Ashley Davies,2013,186000,0,0.715,0.602,0.715,0.199,0.841,0.133,-11.379,0.0717,81.018,4
Austrialia,18,Towards Adelaide by Mount Hopeless,Burke and Wills - the Expedition,Ashley Davies,2013,391693,0,0.604,0.696,0.604,0.489,0.931,0.355,-9.176,0.0273,131.879,4
Austrialia,19,Who in the Name of Wonder Are You,Burke and Wills - the Expedition,Ashley Davies,2013,140813,0,0.565,0.891,0.565,0.174,0.751,0.105,-13.256,0.031,128.065,4
Austrialia,20,Mambo Wah Wah,Muscle Drum Music volume 2,Ashley Davies,2008,253013,0,0.617,0.0709,0.617,0.954,0.924,0.181,-7.917,0.0435,107.848,4
Austrialia,21,C Special,Muscle Drum Music volume 2,Ashley Davies,2008,280000,0,0.559,0.099,0.559,0.746,0.926,0.0941,-10.283,0.0337,99.766,4
Austrialia,22,This Time,Muscle Drum Music volume 2,Ashley Davies,2008,220000,0,0.511,0.216,0.511,0.991,5.61E-05,0.275,-5.8,0.0833,101.786,4
Austrialia,23,In Motion,Muscle Drum Music volume 2,Ashley Davies,2008,228000,0,0.488,0.666,0.488,0.715,0.712,0.363,-12.376,0.0328,131.782,4
Austrialia,24,Hillbilly Hip Hop Shuffle,Muscle Drum Music volume 2,Ashley Davies,2008,285000,0,0.568,0.157,0.568,0.857,0.897,0.105,-8.222,0.0598,89.656,4
Austrialia,25,Jungle Drums Gene,Muscle Drum Music volume 2,Ashley Davies,2008,274000,0,0.749,0.476,0.749,0.605,0.862,0.1,-10.611,0.0857,95.112,4
Austrialia,26,Pistonshifter,Muscle Drum Music volume 2,Ashley Davies,2008,195560,0,0.457,0.221,0.457,0.932,0.941,0.235,-6.654,0.0967,115.671,4
Austrialia,27,One Way Out,Muscle Drum Music volume 2,Ashley Davies,2008,267000,0,0.612,0.279,0.612,0.597,0.0529,0.11,-10.445,0.0421,103.778,4
Austrialia,28,Tripling Tom Toms,Muscle Drum Music volume 2,Ashley Davies,2008,217000,0,0.402,0.0505,0.402,0.937,0.926,0.0887,-9.783,0.0527,159.762,4
Austrialia,29,Latino,Muscle Drum Music (Volume 1),Ashley Davies,2006,204013,0,0.476,0.126,0.476,0.833,0.904,0.142,-7.576,0.0405,175.778,4
Austrialia,30,"Get thee behind me, satan",Muscle Drum Music (Volume 1),Ashley Davies,2006,330000,0,0.638,0.00299,0.638,0.824,0.00664,0.127,-6.915,0.0595,99.829,4
Austrialia,31,Grab your kittens and dance,Muscle Drum Music (Volume 1),Ashley Davies,2006,284000,0,0.604,0.0285,0.604,0.898,0.801,0.113,-8.864,0.0445,145.716,4
Austrialia,32,Not goin down,Muscle Drum Music (Volume 1),Ashley Davies,2006,224000,0,0.506,0.00231,0.506,0.939,8.76E-05,0.431,-5.965,0.107,131.55,4
Austrialia,33,She is in your dreams,Muscle Drum Music (Volume 1),Ashley Davies,2006,212000,0,0.737,0.403,0.737,0.742,0.0192,0.091,-7.869,0.0307,135.602,4
Austrialia,34,Love that Stomp,Muscle Drum Music (Volume 1),Ashley Davies,2006,243800,0,0.526,4.90E-05,0.526,0.806,0.174,0.121,-6.908,0.0881,159.72,4
Austrialia,35,Glad this ain't real,Muscle Drum Music (Volume 1),Ashley Davies,2006,306000,0,0.519,0.0062,0.519,0.769,0.0427,0.0994,-7.398,0.0312,99.859,4
Austrialia,36,Have You Got It In You,Muscle Drum Music (Volume 1),Ashley Davies,2006,239000,0,0.543,0.00527,0.543,0.968,0.684,0.0809,-6.685,0.0851,131.645,4
Austrialia,37,Rugged and raw,Muscle Drum Music (Volume 1),Ashley Davies,2006,355000,0,0.497,0.00796,0.497,0.901,0.882,0.0503,-6.722,0.0394,139.768,4
Austrialia,38,Battlelines,Ned Kelly,Ashley Davies,2001,206666,0,0.43,0.113,0.43,0.449,0.185,0.184,-9.047,0.035,119.031,4
Austrialia,39,The Bushranger's Apprentice,Ned Kelly,Ashley Davies,2001,215080,0,0.567,0.122,0.567,0.651,0.791,0.0483,-7.367,0.0448,128.449,4
Austrialia,40,Strange Justice,Ned Kelly,Ashley Davies,2001,173640,0,0.305,0.947,0.305,0.162,0.311,0.142,-11.905,0.035,96.032,4
Austrialia,41,Stormclouds,Ned Kelly,Ashley Davies,2001,131466,0,0.762,0.87,0.762,0.289,0.901,0.106,-15.14,0.0313,115.91,4
Austrialia,42,Stringybark Creek,Ned Kelly,Ashley Davies,2001,112960,0,0.219,0.898,0.219,0.847,0.972,0.682,-6.222,0.0617,105.674,4
Austrialia,43,On The Run,Ned Kelly,Ashley Davies,2001,212786,0,0.267,0.000918,0.267,0.785,0.858,0.195,-7.395,0.0439,177.633,4
Austrialia,44,Outlaws At Play,Ned Kelly,Ashley Davies,2001,305960,0,0.442,0.0301,0.442,0.644,0.466,0.0706,-9.374,0.0381,135.88,4
Austrialia,45,Six Demons,Ned Kelly,Ashley Davies,2001,110013,0,0.189,0.827,0.189,0.102,0.932,0.105,-17.458,0.0407,70.431,3
Austrialia,46,Endplay,Ned Kelly,Ashley Davies,2001,142986,0,0.359,0.935,0.359,0.622,0.132,0.246,-8.55,0.0353,89.548,4
Austrialia,47,Dance On The Lid Of A Coffin,Ned Kelly,Ashley Davies,2001,234160,0,0.399,0.0385,0.399,0.543,0.92,0.295,-8.545,0.0552,122.412,4
Austrialia,48,The Seige At Glenrowan,Ned Kelly,Ashley Davies,2001,108146,0,0.183,0.0116,0.183,0.947,0.958,0.064,-7.69,0.1,180.793,1
Austrialia,49,The Last Stand,Ned Kelly,Ashley Davies,2001,313653,0,0.166,0.0501,0.166,0.379,0.822,0.198,-10.231,0.0333,108.623,3
Austrialia,50,"I Will See You There, Where I Go",Ned Kelly,Ashley Davies,2001,259893,0,0.413,0.843,0.413,0.0695,0.707,0.12,-10.928,0.044,171.576,3
Austrialia,51,A Short Walk To Eternity,Ned Kelly,Ashley Davies,2001,107240,0,0.333,0.00336,0.333,0.532,0.884,0.349,-7.923,0.0336,121.335,4
Austrialia,52,Manifesto,Ned Kelly,Ashley Davies,2001,287546,0,0.538,0.613,0.538,0.262,0.751,0.116,-12.678,0.0435,113.502,4
Austrialia,53,Lock It In,There's Life,Ashley Davies,1996,172186,0,0.463,0.00419,0.463,0.503,0.799,0.0938,-10.594,0.0376,146.982,4
